sep=,
"Time","x_Acc","y_Acc","z_Acc"
2022-04-04 09:18:18,21.0 mg,,
2022-04-04 09:18:19,19.2 mg,,
2022-04-04 09:18:20,21.6 mg,30.0 mg,
2022-04-04 09:18:21,21.5 mg,29.9 mg,
2022-04-04 09:18:22,18.5 mg,36.1 mg,1007.0 mg
2022-04-04 09:18:23,19.3 mg,38.7 mg,1019.8 mg
2022-04-04 09:18:24,16.1 mg,39.0 mg,1019.4 mg
2022-04-04 09:18:25,15.4 mg,39.1 mg,1020.2 mg
2022-04-04 09:18:26,16.8 mg,33.8 mg,1025.8 mg
2022-04-04 09:18:27,20.6 mg,30.9 mg,1029.6 mg
2022-04-04 09:18:28,20.2 mg,33.4 mg,1026.5 mg
2022-04-04 09:18:29,21.8 mg,31.4 mg,1023.6 mg
2022-04-04 09:18:30,15.9 mg,36.2 mg,1017.9 mg
2022-04-04 09:18:31,16.1 mg,36.8 mg,1021.6 mg
2022-04-04 09:18:32,19.7 mg,36.7 mg,1030.3 mg
2022-04-04 09:18:33,21.5 mg,30.8 mg,1030.5 mg
2022-04-04 09:18:34,23.1 mg,28.3 mg,1028.7 mg
2022-04-04 09:18:35,20.3 mg,33.1 mg,1022.7 mg
2022-04-04 09:18:36,18.8 mg,31.7 mg,1021.6 mg
2022-04-04 09:18:37,19.9 mg,33.8 mg,1021.5 mg
2022-04-04 09:18:38,18.4 mg,34.6 mg,1021.2 mg
2022-04-04 09:18:39,15.9 mg,38.0 mg,1021.6 mg
2022-04-04 09:18:40,18.0 mg,38.9 mg,1020.7 mg
2022-04-04 09:18:41,15.8 mg,37.6 mg,1023.6 mg
2022-04-04 09:18:42,20.1 mg,34.1 mg,1030.3 mg
2022-04-04 09:18:43,22.1 mg,30.2 mg,1029.8 mg
2022-04-04 09:18:44,24.5 mg,29.4 mg,1026.2 mg
2022-04-04 09:18:45,14.4 mg,38.3 mg,1018.3 mg
2022-04-04 09:18:46,15.6 mg,38.9 mg,1017.0 mg
2022-04-04 09:18:47,17.3 mg,39.3 mg,1019.9 mg
2022-04-04 09:18:48,17.1 mg,36.9 mg,1021.2 mg
2022-04-04 09:18:49,19.6 mg,36.3 mg,1027.8 mg
2022-04-04 09:18:50,20.1 mg,29.8 mg,1027.4 mg
2022-04-04 09:18:51,22.7 mg,28.4 mg,1031.7 mg
2022-04-04 09:18:52,21.2 mg,31.5 mg,1027.6 mg
2022-04-04 09:18:53,19.6 mg,34.8 mg,1026.8 mg
2022-04-04 09:18:54,17.8 mg,35.2 mg,1018.3 mg
2022-04-04 09:18:55,16.3 mg,39.1 mg,1018.7 mg
2022-04-04 09:18:56,21.5 mg,33.1 mg,1026.3 mg
2022-04-04 09:18:57,22.6 mg,32.7 mg,1027.2 mg
2022-04-04 09:18:58,16.0 mg,33.0 mg,1022.4 mg
2022-04-04 09:18:59,17.3 mg,34.4 mg,1017.4 mg
2022-04-04 09:19:00,15.3 mg,36.5 mg,1017.9 mg
2022-04-04 09:19:01,16.2 mg,39.1 mg,1017.4 mg
2022-04-04 09:19:02,17.2 mg,39.9 mg,1020.6 mg
2022-04-04 09:19:03,18.1 mg,34.8 mg,1029.7 mg
2022-04-04 09:19:04,20.8 mg,36.1 mg,1025.7 mg
2022-04-04 09:19:05,20.0 mg,36.7 mg,1026.4 mg
2022-04-04 09:19:06,16.6 mg,32.8 mg,1029.7 mg
2022-04-04 09:19:07,21.1 mg,33.5 mg,1028.5 mg
2022-04-04 09:19:08,18.9 mg,33.0 mg,1025.9 mg
2022-04-04 09:19:09,21.3 mg,31.9 mg,1022.7 mg
2022-04-04 09:19:10,15.2 mg,36.8 mg,1022.7 mg
2022-04-04 09:19:11,17.3 mg,37.0 mg,1024.5 mg
